采购年,TB,TD,TE,TF,TG,TH,TJ,TK,TL,TM,TN,TP,TQ,TS,TU,TV,T
2021.0,207,0,3,4,41,38,0,30,6,127,587,2103,127,407,321,86,4
2022.0,176,0,3,2,14,27,0,37,12,40,305,1233,77,229,258,87,4
2023.0,174,3,0,5,43,67,0,21,7,53,320,1193,94,208,244,69,0
2024.0,160,1,2,0,29,88,2,31,5,63,258,1765,47,269,327,44,5
2025.0,114,0,6,0,23,23,4,28,5,52,212,1115,41,191,292,51,2
