采购年,A,B,C,D,E,F,G,H,I,J,K,N,O,P,Q,R,S,T,U,V,X,Z
2021.0,394,2158,1151,3426,90,4514,2887,1287,5981,1342,2699,156,658,241,417,654,167,4091,58,26,551,312
2022.0,439,1689,983,1922,76,3156,1785,917,5318,1286,2374,114,477,277,444,552,136,2504,59,32,616,474
2023.0,246,1775,815,2762,82,3093,2379,1047,6261,1421,2787,114,456,218,345,483,117,2501,53,26,398,139
2024.0,407,2215,971,2487,65,3297,1817,858,5780,1080,2198,125,419,161,337,554,76,3096,82,30,255,150
2025.0,269,3880,1446,3511,62,3165,2165,974,5815,1421,2210,202,571,331,388,759,27,2159,89,45,366,124
